Date,Opponent,Ranking,Result,MdPoints,OppPoints,MdYards,OppYards,MdTurnovers,OppTurnovers,Attendence
2021-09-04,West Virginia,NA,W,30,24,496,325,0,4,43811
2021-09-11,Howard,NA,W,60,0,574,146,0,1,31612
2021-09-25,Kent St,NA,W,37,16,526,458,2,1,30117
2021-10-01,Iowa,5,L,14,51,271,428,7,0,45527
2021-10-30,Indiana,NA,W,38,35,498,446,0,0,32308
2021-11-06,Penn State,22,L,14,31,419,456,2,0,46924
2021-11-20,Michigan,8,L,18,59,359,503,1,0,36181
2022-09-03,Buffalo,NA,W,31,10,446,268,1,0,30223
2022-09-17,SMU,NA,W,34,27,439,520,2,3,31194
2022-10-01,Michigan State,NA,W,27,13,489,321,0,0,30559
2022-10-08,Purdue,NA,L,29,31,387,373,1,3,36204
2022-10-22,Northwestern,NA,W,31,24,423,358,0,2,31418
2022-11-19,Ohio State,2,L,30,43,402,401,1,0,41969
2022-11-26,Rutgers,NA,W,37,0,513,135,2,1,21974
2023-09-02,Towson,NA,W,38,6,449,276,0,0,37241
2023-09-09,Charlotte,NA,W,38,20,530,314,2,2,32804
2023-09-15,Virginia,NA,W,42,14,461,354,0,4,37041
2023-09-30,Indiana,NA,W,44,17,472,321,0,1,38181
2023-10-14,Illinois,NA,L,24,27,380,337,1,1,35580
2023-11-04,Penn State,9,L,15,51,234,404,4,0,51802
2023-11-18,Michigan,2,L,24,31,262,291,3,1,49546
